01_01,"playground - forward jumps, turn around",Other
01_02,playground - climb,Other
01_03,"playground - climb, hang, swing",Other
01_04,playground - climb,Other
01_05,"playground - climb, go under",Other
01_06,"playground - climb, sit, dangle legs, descend",Other
01_07,"playground - climb, sit, dangle legs, jump down",Other
01_08,"playground - climb, sit, dangle legs, rock back, lower self to ground",Other
01_09,"playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under",Other
01_10,"playground - climb, swing, lean back, drop",Other
01_11,"playground - climb, hang, lean over, jump down",Other
01_12,"playground - climb, pull up, dangle, sit, lower self to ground",Other
01_13,"playground - climb, go under, jump down",Other
01_14,"playground - climb, jump down, dangle, legs push off against",Other
02_01,walk,Walk
02_02,walk,Walk
02_03,run/jog,Run
02_04,"jump, balance",Other
02_05,punch/strike,Other
02_06,"bend over, scoop up, rise, lift arm",Other
02_07,swordplay,Other
02_08,swordplay,Other
02_09,swordplay,Other
02_10,wash self,Other
03_01,walk on uneven terrain,Walk
03_02,walk on uneven terrain,Walk
03_03,walk on uneven terrain,Walk
03_04,walk on uneven terrain,Walk
05_01,walk,Walk
05_02,"dance - expressive arms, pirouette",Other
05_03,"dance - sideways arabesque, turn step, folding arms",Other
05_04,"dance - sideways arabesque, folding arms, bending back",Other
05_05,"dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant",Other
05_06,"dance - cartwheel-like start, pirouettes, jete",Other
05_07,"dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn",Other
05_08,"dance - rond de jambe in the air, jete, turn",Other
05_09,"dance - glissade devant, glissade derriere, attitude/arabesque",Other
05_10,"dance - glissade devant, glissade derriere, attitude/arabesque",Other
05_11,"dance - sideways steps, pirouette",Other
05_12,"dance - arms held high, pointe tendue a terre, upper body rotation",Other
05_13,"dance - small jetes, pirouette",Other
05_14,"dance - retire derriere, attitude/arabesque",Other
05_15,"dance - retire derriere, attitude/arabesque",Other
05_16,"dance - coupe dessous, jete en tourant",Other
05_17,"dance - coupe dessous, grand jete en tourant",Other
05_18,"dance - attitude/arabesque, jete en tourant, bending back",Other
05_19,"dance - attitude/arabesque, jete en tourant, bending back",Other
05_20,"dance - attitude/arabesque, jete en tourant, bending back",Other
06_01,walk,Walk
06_02,basketball - forward dribble,Other
06_03,basketball - forward dribble,Other
06_04,basketball - forward dribble,Other
06_05,basketball - forward dribble,Other
06_06,basketball - backward dribble,Other
06_07,basketball - backward dribble,Other
06_08,basketball - sideways dribble,Other
06_09,basketball - sideways dribble,Other
06_10,"basketball - forward dribble, 90-degree left turns",Other
06_11,"basketball - forward dribble, 90-degree right turns",Other
06_12,"basketball - forward dribble, 90-degree right turns, crossover dribble",Other
06_13,"basketball - low, fast free style dribble, dribble through legs",Other
06_14,"basketball - crossover dribble, shoot",Other
06_15,"basketball - dribble, shoot",Other
07_01,walk,Walk
07_02,walk,Walk
07_03,walk,Walk
07_04,slow walk,Walk
07_05,slow walk,Walk
07_06,walk,Walk
07_07,walk,Walk
07_08,walk,Walk
07_09,walk,Walk
07_10,walk,Walk
07_11,walk,Walk
07_12,brisk walk,Walk
08_01,walk,Walk
08_02,walk,Walk
08_03,walk,Walk
08_04,slow walk,Walk
08_05,walk/stride,Walk
08_06,walk,Walk
08_07,"walk, exaggerated stride",Walk
08_08,walk,Walk
08_09,walk,Walk
08_10,walk,Walk
08_11,slow walk/stride,Walk
09_01,run,Run
09_02,run,Run
09_03,run,Run
09_04,run,Run
09_05,run,Run
09_06,run,Run
09_07,run,Run
09_08,run,Run
09_09,run,Run
09_10,run,Run
09_11,run,Run
09_12,"navigate - walk forward, backward, sideways",Walk
10_01,soccer - kick ball,Other
10_02,soccer - kick ball,Other
10_03,soccer - kick ball,Other
10_04,walk,Walk
10_05,soccer - kick ball,Other
10_06,soccer - kick ball,Other
11_01,soccer - kick ball,Other
12_01,walk,Walk
12_02,walk,Walk
12_03,walk,Walk
12_04,tai chi,Other
13_01,"sit on high stool, stand up",Other
13_02,"sit on high stool, stand up",Other
13_03,"sit on high stool, stand up",Other
13_04,"sit on stepstool, chin in hand",Other
13_05,"sit on stepstool, hands against chin, fidget, stand up",Other
13_06,"sit on stepstool, hands against chin, elbow out, stand up",Other
13_07,"unscrew bottlecap, drink soda",Other
13_08,"unscrew bottlecap, drink soda, screw on bottlecap",Other
13_09,drink soda,Other
13_10,"jump up to grab, reach for, tiptoe",Other
13_11,forward jump,Other
13_12,"jump up to grab, reach for, tiptoe",Other
13_13,forward jump,Other
13_14,laugh,Other
13_15,laugh,Other
13_16,laugh,Other
13_17,boxing,Other
13_18,boxing,Other
13_19,forward jump,Other
13_20,wash windows,Other
13_21,wash windows,Other
13_22,wash windows,Other
13_23,sweep floor,Other
13_24,sweep floor,Other
13_25,sweep floor,Other
13_26,"direct traffic, wave",Other
13_27,"direct traffic, wave, point",Other
13_28,"direct traffic, wave, point",Other
13_29,"jumping jacks, side twists, bend over, squats",Other
13_30,"jumping jacks, side twists, squats, jog",Other
13_31,"jumping jacks, side twists, bend over, jog",Other
13_32,forward jump,Other
13_33,climb ladder,Other
13_34,climb ladder,Other
13_35,climb 3 steps,Other
13_36,climb 3 steps,Other
13_37,climb 3 steps,Other
13_38,climb 3 steps,Other
13_39,jump,Other
13_40,jump,Other
13_41,jump,Other
13_42,jump,Other
14_01,boxing,Other
14_02,boxing,Other
14_03,boxing,Other
14_04,"drink soda, screw on bottlecap",Other
14_05,"unscrew bottlecap, drink soda",Other
14_06,"jumping jacks, jog, squats, side twists, stretches",Other
14_07,"jump up to grab, reach for, tiptoe",Other
14_08,"jump up to grab, reach for, tiptoe",Other
14_09,"jump up to grab, reach for, tiptoe",Other
14_10,wash windows,Other
14_11,wash windows,Other
14_12,wash windows,Other
14_13,mop floor,Other
14_14,"jumping jacks, jog, squats, side twists, stretches",Other
14_15,mop floor,Other
14_16,sweep floor,Other
14_17,laugh,Other
14_18,laugh,Other
14_19,laugh,Other
14_20,"jumping jacks, side twists, reach up, bend over",Other
14_21,climb 3 steps,Other
14_22,climb 3 steps,Other
14_23,climb 3 steps,Other
14_24,"direct traffic, wave, point",Other
14_25,"direct traffic, wave, point",Other
14_26,"direct traffic, wave, point",Other
14_27,"sit on high stool, stand up",Other
14_28,"sit on high stool, stand up",Other
14_29,"sit on stepstool, stand up, swing legs",Other
14_30,"sit on stepstool, ankle on other knee, hand on chin",Other
14_31,"sit on stepstool, stand up",Other
14_32,"sit on stepstool, stand up",Other
14_33,climb ladder,Other
14_34,climb ladder,Other
14_35,climb ladder,Other
14_36,"sit on stepstool, stand up",Other
14_37,drink soda,Other
15_01,walk/wander,Walk
15_02,"climb, step over, sit on, stand on stepstool",Other
15_03,walk/wander,Walk
91_21,acheyWalk,Walk
105_21,acheyWalk,Walk
15_06,"lean forward, reach for",Other
15_07,"lean forward, tiptoe, reach for",Other
15_08,hand signals - horizontally revolve forearms,Other
15_09,walk/wander,Walk
15_10,"sit on high stool, stand up",Other
15_11,"wash windows, paint figure eights; hand signals",Other
81_18,adjust hair walk forward,Other
15_13,boxing,Other
15_14,walk/wander,Walk
16_01,jump,Other
16_02,jump,Other
16_03,high jump,Other
16_04,high jump,Other
16_05,forward jump,Other
16_06,forward jump,Other
16_07,forward jump,Other
16_08,"run/jog, sudden stop",Run
16_09,forward jump,Other
16_10,forward jump,Other
16_11,"walk, veer left",Walk
16_12,"walk, veer left",Walk
16_13,"walk, veer right",Walk
16_14,"walk, veer right",Walk
16_15,walk,Walk
16_16,walk,Walk
16_17,"walk, 90-degree left turn",Walk
16_18,"walk, 90-degree left turn",Walk
16_19,"walk, 90-degree right turn",Walk
16_20,"walk, 90-degree right turn",Walk
16_21,walk,Walk
16_22,walk,Walk
16_23,"walk, veer left",Walk
16_24,"walk, veer left",Walk
16_25,"walk, veer right",Walk
16_26,"walk, veer right",Walk
16_27,"walk, 90-degree left turn",Walk
16_28,"walk, 90-degree left turn",Walk
16_29,"walk, 90-degree right turn",Walk
16_30,"walk, 90-degree right turn",Walk
16_31,walk,Walk
16_32,walk,Walk
16_33,"slow walk, stop",Walk
16_34,"slow walk, stop",Walk
16_35,run/jog,Run
16_36,run/jog,Run
16_37,"run/jog, veer left",Run
16_38,"run/jog, veer left",Run
16_39,"run/jog, veer right",Run
16_40,"run/jog, veer right",Run
16_41,"run/jog, 90-degree left turn",Run
16_42,"run/jog, 90-degree left turn",Run
16_43,"run/jog, 90-degree right turn",Run
16_44,"run/jog, 90-degree right turn",Run
16_45,run/jog,Run
16_46,run/jog,Run
16_47,walk,Walk
16_48,"run, veer left",Run
16_49,"run, veer right",Run
16_50,"run, veer right",Run
16_51,"run, 90-degree left turn",Run
16_52,"run, 90-degree left turn",Run
16_53,"run, 90-degree right turn",Run
16_54,"run, 90-degree right turn",Run
16_55,run,Run
16_56,run/jog,Run
16_57,"run/jog, sudden stop",Run
16_58,walk,Walk
17_01,"walk with anger, frustration",Walk
17_02,"walk with anger, frustration",Walk
17_03,walk stealthily,Walk
17_04,walk stealthily,Walk
17_05,walk/hobble,Walk
104_44,AttitudeWalk,Walk
104_45,AttitudeWalk8,Walk
104_46,AttitudeWalkRightAngleTurns,Walk
132_29,Bouncy Walk,Walk
17_10,boxing,Other
132_30,Bouncy Walk,Walk
132_31,Bouncy Walk,Walk
18_03,A pulls B; B resists (2 subjects - subject A),Other
18_04,A pulls B; B resists (2 subjects - subject A),Other
18_05,A pulls B by the elbow; B resists (2 subjects - subject A),Other
18_06,A pulls B by the elbow; B resists (2 subjects - subject A),Other
132_32,Bouncy Walk,Walk
18_08,conversation - explain with hand gestures (2 subjects - subject A),Other
132_33,Bouncy Walk,Walk
18_10,quarrel - angry hand gestures (2 subjects - subject A),Other
18_11,quarrel - angry hand gestures (2 subjects - subject A),Other
18_12,"friends meet, hang out; A sits, B joins A (2 subjects - subject A)",Other
18_13,"run, scramble for last seat (2 subjects - subject A)",Other
18_14,"run, scramble for last seat (2 subjects - subject A)",Other
18_15,chicken dance (2 subjects - subject A),Other
132_34,Bouncy Walk,Walk
90_27,bwk ball walk,Walk
19_03,A pulls B; B resists (2 subjects - subject B),Other
19_04,A pulls B; B resists (2 subjects - subject B),Other
19_05,A pulls B by the elbow; B resists (2 subjects - subject B),Other
19_06,A pulls B by the elbow; B resists (2 subjects - subject B),Other
77_25,careful walk and search,Walk
19_08,conversation - explain with hand gestures (2 subjects - subject B),Other
77_26,careful walk and search,Walk
19_10,quarrel - angry hand gestures (2 subjects - subject B),Other
19_11,quarrel - angry hand gestures (2 subjects - subject B),Other
19_12,"friends meet, hang out; A sits, B joins A (2 subjects - subject B)",Other
19_13,"run, scramble for last seat (2 subjects - subject B)",Other
19_14,"run, scramble for last seat (2 subjects - subject B)",Other
19_15,chicken dance (2 subjects - subject B),Other
20_01,chicken dance (2 subjects - subject A),Other
77_27,careful walk and search,Walk
91_18,CarefulWalk LookingAround,Walk
105_18,CarefulWalk LookingAround,Walk
93_07,Casual Walk,Walk
20_06,soldiers march (2 subjects - subject A),Other
20_07,soldiers march (2 subjects - subject A),Other
20_08,zombie march (2 subjects - subject A),Other
20_09,nursery rhyme - ring around the rosey (2 subjects - subject A),Other
20_10,360-degree two-person whip (2 subjects - subject A),Other
103_07,Casual Walk,Walk
91_22,CasualQuickWalk,Walk
20_13,blind man's bluff (blindfold tag) (2 subjects - subject A),Other
21_01,chicken dance (2 subjects - subject B),Other
105_22,CasualQuickWalk,Walk
104_19,CasualWalk,Walk
137_04,Cat Walk,Walk
137_08,Chicken Walk,Walk
21_06,soldiers march (2 subjects - subject B),Other
21_07,soldiers march (2 subjects - subject B),Other
21_08,zombie march (2 subjects - subject B),Other
21_09,nursery rhyme - ring around the rosey (2 subjects - subject B),Other
21_10,360-degree two-person whip (2 subjects - subject B),Other
91_15,ClumsyWalk,Walk
105_15,ClumsyWalk,Walk
21_13,blind man's bluff (blindfold tag) (2 subjects - subject B),Other
22_01,B sits; A pulls up B (2 subjects - subject A),Other
22_02,A sits; B pulls up A (2 subjects - subject A),Other
22_03,"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject A)",Other
22_04,"B comforts A, puts one hand on A's shoulder (2 subjects - subject A)",Other
22_05,"A comforts B, puts both hands on B's shoulders (2 subjects - subject A)",Other
22_06,"B comforts A, puts both hands on A's shoulders (2 subjects - subject A)",Other
22_07,"A comforts B, puts one hand on B's shoulder (2 subjects - subject A)",Other
82_09,confident walk forward,Walk
22_09,"A gives B a shoulder rub; B sits, A stands (2 subjects - subject A)",Other
22_10,"A shelters B, a younger child, from harm (2 subjects - subject A)",Other
22_11,"B shelters A, a younger child, from harm (2 subjects - subject A)",Other
22_12,A stumbles into B (2 subjects - subject A),Other
22_13,A passes soda to B; both drink (2 subjects - subject A),Other
22_14,alternating squats (2 subjects - subject A),Other
22_15,alternating jumping jacks (2 subjects - subject A),Other
22_16,synchronized jumping jacks (2 subjects - subject A),Other
22_17,"rush up, arm wrestle (2 subjects - subject A)",Other
22_18,"A stares down B, leans with hands on high stool (2 subjects - subject A)",Other
22_19,"B stares down A, leans with hands on high stool (2 subjects - subject A)",Other
22_20,"violence - A picks up high stool, threatens to strike B (2 subjects - subject A)",Other
22_21,"conversation - B pounds high stool, points at A (2 subjects - subject A)",Other
18_09,"conversation - explain with hand gestures, walk (2 subjects - subject A)",Other
19_09,"conversation - explain with hand gestures, walk (2 subjects - subject B)",Other
91_23,CoolWalk,Walk
105_23,CoolWalk,Walk
23_01,B sits; A pulls up B (subjects - subject B),Other
23_02,A sits; B pulls up A (subjects - subject B),Other
23_03,"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject B)",Other
23_04,"B comforts A, puts one hand on A's shoulder (2 subjects - subject B)",Other
23_05,"A comforts B, puts both hands on B's shoulders (2 subjects - subject B)",Other
23_06,"B comforts A, puts both hands on A's shoulders (2 subjects - subject B)",Other
23_07,"A comforts B, puts one hand on B's shoulder (2 subjects - subject B)",Other
91_14,DepressedWalk,Walk
23_09,"A gives B a shoulder rub; B sits, A stands (subjects - subject B)",Other
23_10,"A shelters B, a younger child, from harm (2 subjects - subject B)",Other
23_11,"B shelters A, a younger child, from harm (2 subjects - subject B)",Other
23_12,A stumbles into B (2 subjects - subject B),Other
23_13,A passes soda to B; both drink (2 subjects - subject B),Other
23_14,alternating squats (2 subjects - subject B),Other
23_15,alternating jumping jacks (2 subjects - subject B),Other
23_16,synchronized jumping jacks (2 subjects - subject B),Other
23_17,"rush up, arm wrestle (2 subjects - subject B)",Other
23_18,"A stares down B, leans with hands on high stool (2 subjects - subject B)",Other
23_19,"B stares down A, leans with hands on high stool (2 subjects - subject B)",Other
23_20,"violence - A picks up high stool, threatens to strike B (2 subjects - subject B)",Other
23_21,"conversation - B pounds high stool, points at A (2 subjects - subject B)",Other
105_14,DepressedWalk,Walk
137_12,Dinosaur Walk,Walk
91_25,DragBadLegWalk,Other
105_25,DragBadLegWalk,Other
24_01,"nursery rhyme - ""I'm a little teapot...""",Other
